Coherence: 0.5147.
0 ['skin', 'skincare', 'aging', 'line', 'appearance', 'wrinkle', 'help', 'anti', 'result', 'larger']
1 ['skin', 'free', 'help', 'protection', 'damage', 'formula', 'antioxidant', 'sun', 'protect', 'sunscreen']
2 ['brush', 'use', 'the', 'believe', 'head', 'easy', 'led', 'bristle', 'to', 'technology']
3 ['hair', 'styling', 'heat', 'style', 'curl', 'the', 'modern', 'technology', 'frizz', 'iron']
4 ['you', 'coat', 'look', 'life', 'brand', 'new', 'like', 'day', 'world', 'good']
5 ['eye', 'mask', 'apply', 'shadow', 'area', 'bold', 'powder', 'use', 'circle', 'dark']
6 ['nail', 'quality', 'polish', 'high', 'salon', 'industry', 'high_quality', 'color', 'nail_polish', 'professional']
7 ['the', 'inspired', 'makeup', 'heart', 'bottle', 'london', 'cosmetic', 'tool', 'glass', 'design']
8 ['color', 'lip', 'finish', 'shade', 'formula', 'long', 'look', 'makeup', 'lasting', 'lash']
9 ['oil', 'extract', 'ingredient', 'natural', 'organic', 'free', 'sodium', 'sulfate', 'acid', 'essential']
10 ['oz', 'gel', 'body', 'cream', 'set', 'fl', 'shower', 'includes', 'spray', 'ml']
11 ['product', 'beauty', 'care', 'brand', 'ingredient', 'natural', 'innovative', 'our', 'founded', 'spa']
12 ['fragrance', 'note', 'butter', 'scent', 'the', 'shea', 'fresh', 'shea_butter', 'blend', 'body']
13 ['men', 'performance', 'shave', 'high_performance', 'shaving', 'eau', 'grooming', 'lifestyle', 'primer', 'hair']
14 ['hair', 'color', 'shine', 'shampoo', 'scalp', 'conditioner', 'dry', 'add', 'spray', 'volume']
15 ['skin', 'oil', 'moisture', 'dry', 'help', 'vitamin', 'rich', 'cleansing', 'extract', 'this']
16 ['product', 'we', 'free', 'by', 'best', 'baby', 'woman', 'promise', 'for', 'leading']
